order,show_date,set_name,title,song_id
1,1963-02-23,Set I,Introductions,no_match
2,1963-02-23,Set I,Rollin in my sweet baby's arms,no_match
3,1963-02-23,Set I,Jerrys breakdown,no_match
4,1963-02-23,Set I,Standing in the need of prayer,no_match
5,1963-02-23,Set I,Muleskinner blues,no_match
6,1963-02-23,Set I,Guitar Instrumental,no_match
7,1963-02-23,Set I,Pike county breakdown,no_match
8,1963-02-23,Set I,Come all ye fair and tender maidens,no_match
9,1963-02-23,Set I,We shall now be moved,no_match
1,1965-11-03,Set I,Can't Come Down,cant_come_down
2,1965-11-03,Set I,Mindbender,mindbender
3,1965-11-03,Set I,The Only Time Is Now,the_only_time_is_now
4,1965-11-03,Set I,Caution (Do Not Stop on Tracks),caution_do_not_stop_on_tracks
5,1965-11-03,Set I,I Know You Rider,i_know_you_rider
6,1965-11-03,Set I,Early Morning Rain,early_morning_rain
1,1965-12-18,Set I,Golden Road To Unlimited Devotion,the_golden_road
2,1965-12-18,Set I,New Potato Caboose,new_potato_caboose
3,1965-12-18,Set I,Alligator,alligator
4,1965-12-18,Set I,He Was A Friend Of Mine,he_was_a_friend_of_mine
5,1965-12-18,Set I,Good Lovin',good_lovin
1,1966-01-02,Set I,Stealin',stealin
2,1966-01-02,Set I,I Know You Rider,i_know_you_rider
3,1966-01-02,Set I,Don't Ease Me In,dont_ease_me_in
4,1966-01-02,Set I,You Don't Have To Ask,you_dont_have_to_ask
5,1966-01-02,Set I,Taste Bud,tastebud
6,1966-01-02,Set I,Cardboard Cowboy,cardboard_cowboy
7,1966-01-02,Set I,Stealin',stealin
8,1966-01-02,Set I,I Know You Rider,i_know_you_rider
9,1966-01-02,Set I,Cold Rain And Snow,cold_rain_and_snow
10,1966-01-02,Set II,Instrumental,no_match
11,1966-01-02,Set II,I Know You Rider,i_know_you_rider
12,1966-01-02,Set II,Ripple,ripple
13,1966-01-02,Set II,My Sweet Little Angel,no_match
14,1966-01-02,Set II,Mason's Children,masons_children
15,1966-01-02,Set II,Uncle John's Band,uncle_johns_band
16,1966-01-02,Set II,Shakedown Street,shakedown_street
17,1966-01-02,Set II,Fire On The Mountain,fire_on_the_mountain
18,1966-01-02,Set II,Pride Of Cucamonga,pride_of_cucamonga
19,1966-01-02,Set II,Money Money,money_money
20,1966-01-02,Set II,Guitar Instrumental,no_match
21,1966-01-02,Set II,Unbroken Chain,unbroken_chain
1,1966-01-05,Set I,More Power Rap,no_match
2,1966-01-05,Set I,King Bee,no_match
3,1966-01-05,Set I,Hog For You Baby,im_a_hog_for_you_baby
4,1966-01-05,Set I,Caution,no_match
5,1966-01-05,Set I,Death Don't Have No Mercy,death_dont_have_no_mercy
6,1966-01-05,Set I,Star-Spangled Banner,the_starspangled_banner
1,1966-01-07,Set I,It's A Sin,its_a_sin
2,1966-01-07,Set I,Sick And Tired,sick_and_tired
3,1966-01-07,Set I,Mindbender,mindbender
4,1966-01-07,Set I,On The Road Again,on_the_road_again
5,1966-01-07,Set I,She Belongs To Me,she_belongs_to_me
6,1966-01-07,Set I,I'll Go Crazy,ill_go_crazy
7,1966-01-07,Set I,Can't Come Down,cant_come_down
8,1966-01-07,Set I,Death Don't Have No Mercy,death_dont_have_no_mercy
9,1966-01-07,Set I,Parchman Farm,parchman_farm
10,1966-01-07,Set I,Midnight Hour,in_the_midnight_hour
11,1966-01-07,Set I,The Only Time Is Now,the_only_time_is_now
12,1966-01-07,Set I,Early Morning Rain,early_morning_rain
13,1966-01-07,Set I,It's All Over Now Baby Blue,its_all_over_now_baby_blue
1,1966-01-08,Set I,More Power Rap,no_match
2,1966-01-08,Set I,I'm A King Bee,im_a_king_bee
3,1966-01-08,Set I,Hog For You Baby,im_a_hog_for_you_baby
4,1966-01-08,Set I,Caution (Do Not Stop On Tracks) >,caution_do_not_stop_on_tracks
5,1966-01-08,Set I,Death Don't Have No Mercy,death_dont_have_no_mercy
6,1966-01-08,Set I,Star-Spangled Banner,the_starspangled_banner
1,1966-01-13,Set I,All Of My Love,all_of_my_love
2,1966-01-13,Set I,Hog For You Baby,im_a_hog_for_you_baby
1,1966-01-29,Set I,Ken Kesey interviewed by Frank Fey,no_match
2,1966-01-29,Set I,Ken Babbs and harmonica,no_match
3,1966-01-29,Set I,Ken Kesey,no_match
4,1966-01-29,Set I,Bull,no_match
5,1966-01-29,Set I,Peggy The Pistol,no_match
6,1966-01-29,Set I,One-way Ticket,no_match
7,1966-01-29,Set I,Bells And Fairies,no_match
8,1966-01-29,Set I,Levitation,no_match
9,1966-01-29,Set I,Trip X,no_match
10,1966-01-29,Set I,The End,no_match
1,1966-02-12,Set I,Who Cares? Pigpen rap,no_match
1,1966-02-25,Set I,She's On The Road Again,on_the_road_again
2,1966-02-25,Set I,Next Time You See Me,next_time_you_see_me
3,1966-02-25,Set I,I Know You Rider,i_know_you_rider
4,1966-02-25,Set I,Hey Little One,hey_little_one
5,1966-02-25,Set I,Cold Rain & Snow,cold_rain_and_snow
6,1966-02-25,Set I,I'm A King Bee,im_a_king_bee
7,1966-02-25,Set I,Caution (Do Not Stop On The Tracks),caution_do_not_stop_on_tracks
8,1966-02-25,Set I,Stealin',stealin
1,1966-03-02,Set I,Stealin',stealin
2,1966-03-02,Set I,Wham!,no_match
3,1966-03-02,Set I,Hey Little One,hey_little_one
4,1966-03-02,Set I,I'm A Hog For You Baby,im_a_hog_for_you_baby
5,1966-03-02,Set I,You Don't Have To Ask,you_dont_have_to_ask
6,1966-03-02,Set I,Cold Rain And Snow,cold_rain_and_snow
7,1966-03-02,Set I,Next Time You See Me,next_time_you_see_me
8,1966-03-02,Set I,Viola Lee Blues,viola_lee_blues
9,1966-03-02,Set I,Big Boss Man,big_boss_man
10,1966-03-02,Set I,Sitting On Top Of The World,sittin_on_top_of_the_world
11,1966-03-02,Set I,Dancing In The Streets,dancing_in_the_street
12,1966-03-02,Set I,I Know You Rider,i_know_you_rider
13,1966-03-02,Set I,He Was A Friend Of Mine,he_was_a_friend_of_mine
14,1966-03-02,Set I,Next Time You See Me,next_time_you_see_me
15,1966-03-02,Set I,Good Morning Little Schoolgirl,good_morning_little_schoolgirl
1,1966-03-09,Set I,Unknown Song - Pigpen Vocal,no_match
2,1966-03-09,Set I,Who Do You Love,who_do_you_love
3,1966-03-09,Set I,Who Do You Love,who_do_you_love
4,1966-03-09,Set I,Jam With Short Burst Of Vocal Improvisation,no_match
1,1966-03-19,Set I,Viola Lee Blues,viola_lee_blues
2,1966-03-19,Set I,One Kind Favor,one_kind_favor
3,1966-03-19,Set I,I Know You Rider,i_know_you_rider
4,1966-03-19,Set I,You See A Broken Heart,you_see_a_broken_heart
