id,name,release_date,url,show_dates,album_image_url
5RINFTXQxiWNgoRT0Glwva,Duke '78 (Live),2024-09-20,https://open.spotify.com/album/5RINFTXQxiWNgoRT0Glwva,"[""1978-04-12""]",https://i.scdn.co/image/ab67616d0000b273b0261a6110fa872e975c16f5
0U8ec9AzCbzMNNFEAAteQY,From the Mars Hotel: The Angel's Share,2024-04-17,https://open.spotify.com/album/0U8ec9AzCbzMNNFEAAteQY,[],https://i.scdn.co/image/ab67616d0000b27384e2b5130f7ed9a843a3d204
3SGhLgl2sZtJaeAkrCAcfL,Wake of the Flood: The Angel's Share,2023-08-18,https://open.spotify.com/album/3SGhLgl2sZtJaeAkrCAcfL,[],https://i.scdn.co/image/ab67616d0000b273d7bae04c16286a4248205dba
2Lxt0taVNc2Bv20rt0d21w,"RFK Stadium, Washington, DC, 6/10/73 (Live)",2023-06-30,https://open.spotify.com/album/2Lxt0taVNc2Bv20rt0d21w,"[""1973-06-10""]",https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b
5C5SWfvEGPnbcasiePuPov,Workingman’s Dead (2023 Mickey Hart Mix),2023-06-13,https://open.spotify.com/album/5C5SWfvEGPnbcasiePuPov,[],https://i.scdn.co/image/ab67616d0000b2731808a3851cac6629539ef961
50ER5uOSuN39s05PcrRgcm,"Madison Square Garden, New York, NY 3/9/81 (Live)",2022-09-23,https://open.spotify.com/album/50ER5uOSuN39s05PcrRgcm,"[""1981-03-09""]",https://i.scdn.co/image/ab67616d0000b273a7a05f2dad49e738667e6be8
5Z73lmyC6OYW90wPImcGXR,Europe '72 (Live) [50th Anniversary Edition],2022-07-29,https://open.spotify.com/album/5Z73lmyC6OYW90wPImcGXR,[],https://i.scdn.co/image/ab67616d0000b27372ab6a16cae519cd5b6d3d35
0DS10mXgRXMkkQSxGpfADQ,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",2021-10-01,https://open.spotify.com/album/0DS10mXgRXMkkQSxGpfADQ,"[""1971-12-10""]",https://i.scdn.co/image/ab67616d0000b2735d6cafcd1e911187c755ec7e
3kMxm04sEdG5qzVA3ZOGmH,Grateful Dead (Skull & Roses) [50th Anniversary Expanded Edition] [Live],2021-06-25,https://open.spotify.com/album/3kMxm04sEdG5qzVA3ZOGmH,[],https://i.scdn.co/image/ab67616d0000b2739f86d303432d5ee64e63f382
2iR2R1AJPBqRQEMZ5TnG0y,American Beauty (50th Anniversary Deluxe Edition),2020-10-30,https://open.spotify.com/album/2iR2R1AJPBqRQEMZ5TnG0y,"[""1971-02-18""]",https://i.scdn.co/image/ab67616d0000b273caaf025d43d4507d6750ba7d
2FYA9rjg3sQW8Oq9gF7KZq,American Beauty: The Angel's Share,2020-10-15,https://open.spotify.com/album/2FYA9rjg3sQW8Oq9gF7KZq,[],https://i.scdn.co/image/ab67616d0000b273feb0dd2bea656adaced18a28
3pHIxFl4HWZVHrNte1It3y,American Beauty: The Angel's Share (Demos),2020-10-01,https://open.spotify.com/album/3pHIxFl4HWZVHrNte1It3y,[],https://i.scdn.co/image/ab67616d0000b27318497f18ad876279ba11a89d
4m3LKjFymPkRQeST1KEbT0,Workingman's Dead (50th Anniversary Deluxe Edition),2020-07-10,https://open.spotify.com/album/4m3LKjFymPkRQeST1KEbT0,[],https://i.scdn.co/image/ab67616d0000b273e48679485c4c21a7d6905feb
27uj8NveXyk1lH09t4hLTB,Workingman's Dead: The Angel's Share,2020-07-01,https://open.spotify.com/album/27uj8NveXyk1lH09t4hLTB,[],https://i.scdn.co/image/ab67616d0000b273a75b22f1e6996c445957863c
2fKy7P6G5wV80UHfqCuBwS,Ready or Not (Live),2019-11-22,https://open.spotify.com/album/2fKy7P6G5wV80UHfqCuBwS,[],https://i.scdn.co/image/ab67616d0000b273314998accadd0a413a95853b
1f0whW4QE9bFNLpeyaPQiV,"Saint of Circumstance: Giants Stadium, East Rutherford, NJ 6/17/91 (Live)",2019-09-27,https://open.spotify.com/album/1f0whW4QE9bFNLpeyaPQiV,"[""1991-06-17""]",https://i.scdn.co/image/ab67616d0000b27375b2db703021c33fa8d88225
05RQvmOFKMA6YMZByVZN0Z,Aoxomoxoa (50th Anniversary Deluxe Edition),2019-06-07,https://open.spotify.com/album/05RQvmOFKMA6YMZByVZN0Z,[],https://i.scdn.co/image/ab67616d0000b273c6c9d1c7a7cdb3d1f114b915
3EUx54No5UpMca8zIyTpbd,Pacific Northwest '73-'74: Believe It If You Need It (Live),2018-09-07,https://open.spotify.com/album/3EUx54No5UpMca8zIyTpbd,[],https://i.scdn.co/image/ab67616d0000b273017918eba257a43eabf0035f
7oA5LaCIn1BE0kNYbKbTgI,Anthem of the Sun (50th Anniversary Deluxe Edition),2018-07-13,https://open.spotify.com/album/7oA5LaCIn1BE0kNYbKbTgI,"[""1967-10-22""]",https://i.scdn.co/image/ab67616d0000b273bc72d9d86e2c9e4717a1b8ad
69GtU5zPgCJHq89vBtUzlx,Grateful Dead Records Collection (2017 Remaster),2017-11-24,https://open.spotify.com/album/69GtU5zPgCJHq89vBtUzlx,[],https://i.scdn.co/image/ab67616d0000b273314e985cd461b0ac3fb3866c
3tL7OwKzkCPl18uRruEApq,Long Strange Trip (Highlights from the Motion Picture Soundtrack),2017-08-04,https://open.spotify.com/album/3tL7OwKzkCPl18uRruEApq,[],https://i.scdn.co/image/ab67616d0000b273146e05814be9ccca9f1ec4c6
7EMt0XjOBp6LK5W8LNMVP5,"Grateful Dead, Celebrating Jerry Garcia & the Days Between (Live)",2017-08-01,https://open.spotify.com/album/7EMt0XjOBp6LK5W8LNMVP5,[],https://i.scdn.co/image/ab67616d0000b273ca7b03bd16cd70cab9b33561
222U6kzGKHOa6Nf7nG7hSf,Smiling on a Cloudy Day (2017 Remaster),2017-07-11,https://open.spotify.com/album/222U6kzGKHOa6Nf7nG7hSf,[],https://i.scdn.co/image/ab67616d0000b27310574f891c2b09cff2d6bd39
3KUcDzM895MinUKmEy11S7,Long Strange Trip (Motion Picture Soundtrack),2017-05-26,https://open.spotify.com/album/3KUcDzM895MinUKmEy11S7,[],https://i.scdn.co/image/ab67616d0000b2736bc183bc1a75a0dd3b0c2456
3T9UKU0jMIyrRD0PtKXqPJ,Cornell 5/8/77 (Live),2017-05-05,https://open.spotify.com/album/3T9UKU0jMIyrRD0PtKXqPJ,"[""1977-05-08""]",https://i.scdn.co/image/ab67616d0000b27375fcab3be9f5833d23e211f0
